SiteName,Camera,lon,lat,date
Paddysland,B01,152.165631,-30.073864,2014/12/18 05:45:00
Paddysland,SP03,152.246335,-30.053784,2014/12/18 06:06:00
Tabletop,RC03,151.8459,-30.96038,2014/12/18 06:48:00
Paddysland,SP03,152.246335,-30.053784,2014/12/18 07:47:00
Paddysland,MG02,152.161326,-30.088263,2014/12/18 08:14:00
Paddysland,W04,152.1604,-30.094878,2014/12/18 08:16:00
Tabletop,BH12,151.83246,-30.92361001,2014/12/18 08:26:00
Tabletop,BH05,151.84947,-30.92443001,2014/12/18 08:33:00
Tabletop,BH01,151.86538,-30.90326998,2014/12/18 09:41:00
Tabletop,TT05,151.95187,-30.89163003,2014/12/18 09:45:00
Tabletop,TT05,151.95187,-30.89163003,2014/12/18 09:50:00
Paddysland,B09,152.224771,-30.08284,2014/12/18 12:16:00
Paddysland,B09,152.224771,-30.08284,2014/12/18 12:20:00
Paddysland,B09,152.224771,-30.08284,2014/12/18 12:25:00
Paddysland,B09,152.224771,-30.08284,2014/12/18 12:29:00
Paddysland,B09,152.224771,-30.08284,2014/12/18 12:31:00
Paddysland,B09,152.224771,-30.08284,2014/12/18 12:39:00
Paddysland,B09,152.224771,-30.08284,2014/12/18 12:41:00
Tabletop,BH12,151.83246,-30.92361001,2014/12/18 15:59:00
Tabletop,BH11,151.83517,-30.93172001,2014/12/18 16:22:00
Tabletop,BH12,151.83246,-30.92361001,2014/12/18 16:24:00
Tabletop,BH12,151.83246,-30.92361001,2014/12/18 16:26:00
Tabletop,BH12,151.83246,-30.92361001,2014/12/18 16:29:00
Tabletop,BH12,151.83246,-30.92361001,2014/12/18 16:38:00
Tabletop,BH01,151.86538,-30.90326998,2014/12/18 16:39:00
Tabletop,BH12,151.83246,-30.92361001,2014/12/18 16:40:00
Tabletop,BM02,151.87666,-30.90362001,2014/12/18 17:09:00
Paddysland,B02,152.171801,-30.07941,2014/12/18 17:36:00
Tabletop,BH04,151.84659,-30.91619002,2014/12/18 17:36:00
Paddysland,W02,152.142073,-30.09163,2014/12/18 17:42:00
Tabletop,SD01,151.87274,-30.91290004,2014/12/18 17:53:00
Paddysland,B04,152.186567,-30.089872,2014/12/18 18:17:00
Paddysland,B04,152.186567,-30.089872,2014/12/18 18:27:00
Tabletop,RC02,151.83612,-30.95905004,2014/12/18 18:31:00
Paddysland,B12,152.244376,-30.068168,2014/12/18 18:56:00
Paddysland,SP01,152.250767,-30.070977,2014/12/18 19:00:00
Paddysland,W04,152.1604,-30.094878,2014/12/18 19:01:00
Paddysland,B13,152.250721,-30.074394,2014/12/18 19:19:00
Paddysland,SP01,152.250767,-30.070977,2014/12/18 19:41:00
Paddysland,SP01,152.250767,-30.070977,2014/12/18 19:50:00
Paddysland,SP01,152.250767,-30.070977,2014/12/18 19:52:00
Tabletop,GD02,151.82132,-30.95062003,2014/12/18 19:53:00
Tabletop,GD02,151.82132,-30.95062003,2014/12/18 19:55:00
Paddysland,SP02,152.249853,-30.062331,2014/12/18 20:03:00
Tabletop,BH14,151.84438,-30.92513996,2014/12/18 20:04:00
Tabletop,TT03,151.96543,-30.89778998,2014/12/18 20:04:00
Paddysland,SP04,152.241509,-30.046721,2014/12/18 20:20:00
Paddysland,SP04,152.241509,-30.046721,2014/12/18 20:23:00
Paddysland,B13,152.250721,-30.074394,2014/12/18 22:22:00
Tabletop,BH11,151.83517,-30.93172001,2014/12/18 22:22:00
Paddysland,B05,152.195489,-30.093553,2014/12/18 22:48:00
Tabletop,TT03,151.96543,-30.89778998,2014/12/18 22:51:00
Tabletop,RC02,151.83612,-30.95905004,2014/12/18 23:28:00
Tabletop,RC02,151.83612,-30.95905004,2014/12/18 23:29:00
Tabletop,RC02,151.83612,-30.95905004,2014/12/18 23:34:00
Tabletop,BH09,151.83139,-30.93924,2014/12/19 00:13:00
Tabletop,RC02,151.83612,-30.95905004,2014/12/19 00:21:00
Tabletop,TT02,151.97443,-30.90060001,2014/12/19 00:28:00
Paddysland,B07,152.213125,-30.092584,2014/12/19 00:32:00
Tabletop,RC01,151.8258,-30.95766996,2014/12/19 00:39:00
Tabletop,BH14,151.84438,-30.92513996,2014/12/19 00:44:00
Paddysland,MG01,152.165443,-30.079649,2014/12/19 01:24:00
Paddysland,SP02,152.249853,-30.062331,2014/12/19 01:34:00
Paddysland,W02,152.142073,-30.09163,2014/12/19 02:00:00
Paddysland,B13,152.250721,-30.074394,2014/12/19 02:14:00
Tabletop,SD02,151.87195,-30.91892998,2014/12/19 02:15:00
Tabletop,SD02,151.87195,-30.91892998,2014/12/19 02:18:00
Tabletop,TT01,151.983,-30.90260002,2014/12/19 02:28:00
Paddysland,SP01,152.250767,-30.070977,2014/12/19 02:47:00
Tabletop,BH01,151.86538,-30.90326998,2014/12/19 03:38:00
Tabletop,TT05,151.95187,-30.89163003,2014/12/19 03:38:00
Tabletop,BH01,151.86538,-30.90326998,2014/12/19 03:41:00
Paddysland,W01,152.134154,-30.091017,2014/12/19 04:39:00
Tabletop,TT01,151.983,-30.90260002,2014/12/19 04:41:00
Tabletop,TT06,151.9421,-30.89621997,2014/12/19 04:56:00
Tabletop,TT06,151.9421,-30.89621997,2014/12/19 04:59:00
Tabletop,BM01,151.88528,-30.89772996,2014/12/19 06:05:00
Paddysland,MG01,152.165443,-30.079649,2014/12/19 06:09:00
